driverId,lap,stop,time,duration
giovinazzi,1,1,15:05:21,37.190
ricciardo,22,1,15:35:18,23.812
vettel,22,1,15:35:56,25.157
max_verstappen,23,1,15:36:46,32.456
latifi,23,1,15:37:22,24.168
mick_schumacher,23,1,15:37:49,24.714
norris,24,1,15:38:19,24.168
mazepin,24,1,15:39:22,24.928
hamilton,25,1,15:39:44,25.619
stroll,25,1,15:40:09,24.846
alonso,25,1,15:40:14,24.797
giovinazzi,25,2,15:40:55,30.551
leclerc,26,1,15:41:30,24.557
perez,26,1,15:41:34,23.906
sainz,26,1,15:41:48,24.283
bottas,26,1,15:41:50,24.308
ocon,26,1,15:42:10,30.333
russell,26,1,15:42:13,24.156
kubica,26,1,15:42:21,24.501
vettel,26,2,15:42:41,25.927
mazepin,28,2,15:47:13,24.806
mazepin,39,3,16:05:25,30.917
